codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valGeoAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8416666666667;17.0091666666667;310;0;186;0;M;0;0;M;117;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8391666666667;17.0169444444444;310;0;186;0;M;0;0;M;118;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8416666666667;17.0027777777778;308;0;186;0;M;0;0;M;119;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8375;17.0086111111111;308;0;186;0;M;0;0;M;120;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8344444444444;17.0138888888889;307;0;186;0;M;0;0;M;121;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8441666666667;16.9963888888889;307;0;186;0;M;0;0;M;122;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8402777777778;16.9958333333333;309;0;186;0;M;0;0;M;123;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8372222222222;17.0027777777778;307;0;186;0;M;0;0;M;124;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.8330555555556;17.0080555555556;308;0;186;0;M;0;0;M;125;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
TOWER; Windpark Andau-Halbturn Windkraftanlage / ;N;;47.835;16.9969444444444;307;0;186;0;M;0;0;M;126;;0;0;;;;;AUSTRIA AIP ENR 5.4;N;N
